collection_name,creator,rarity_score,trait_count,past_avg_price,floor_price,sales_last_7d,sales_last_30d,twitter_followers,discord_members,engagement_rate,listing_count,days_since_mint,blockchain,sale_price
Art Blocks,RTFKTstudios,409.44,9.0,40.8322,15.9214,165,330,586821,244687.0,0.1115,1717,743,polygon,8.6064
Sandbox Land,CyberKongz_Dev,344.39,7.0,3.4301,1.8107,82,328,103958,219698.0,0.0947,2192,826,ethereum,4.8641
Art Blocks,LarvaLabs,16.22,4.0,0.1961,0.1674,9,36,1890237,431979.0,0.0099,2318,761,solana,0.7171
Mutant Ape YC,WoW_NFT,168.46,14.0,1.6889,0.5378,197,788,166900,243174.0,0.0444,4104,268,polygon,0.7925
Moonbirds,KevinRose_Team,233.89,3.0,36.5184,24.679,198,990,438413,446088.0,0.0332,1458,993,ethereum,22.9324
Invisible Friends,Sandbox_AG,180.95,2.0,2.9979,2.769,171,684,915425,111236.0,0.0614,30,580,solana,2.5597
Decentraland,CyberKongz_Dev,59.59,8.0,4.427,1.8205,95,380,716543,425335.0,0.0306,972,1164,polygon,1.697
Otherdeed,RTFKTstudios,104.47,6.0,38.8747,32.1751,56,112,80444,494173.0,0.0419,4134,624,polygon,8.0432
Mutant Ape YC,Evan_Conceicao,13.26,7.0,25.3512,20.4543,34,170,658637,375255.0,0.0451,1490,645,ethereum,18.1867
Mutant Ape YC,RTFKTstudios,47.45,13.0,13.8497,4.6151,74,222,1559215,,0.0904,307,709,ethereum,6.7723
Bored Ape YC,Meebits_Dev,133.88,4.0,7.025,3.1516,66,264,501528,370112.0,0.0211,2007,1045,ethereum,7.1393
Doodles,KevinRose_Team,,13.0,6.1339,3.8247,55,220,1731714,300167.0,0.0369,4352,1081,solana,6.2813
Azuki,SnowFro,263.79,3.0,11.0162,5.8861,190,950,720697,381910.0,0.0483,4367,702,ethereum,11.3873
VeeFriends,KevinRose_Team,,5.0,86.3053,30.5711,131,393,27239,480283.0,0.0679,4738,656,polygon,10.0067
Art Blocks,Sandbox_AG,331.42,1.0,8.675,7.4407,44,132,218243,302556.0,0.0067,3422,66,ethereum,8.8275
Azuki,LarvaLabs,,10.0,13.8295,10.7106,127,635,1620121,,0.1499,4097,81,ethereum,12.4748
Sandbox Land,KevinRose_Team,66.63,13.0,46.3187,18.231,141,564,811394,39691.0,0.0458,3867,884,ethereum,21.9848
Chromie Squiggle,RTFKTstudios,112.09,13.0,2.7722,1.1012,104,312,1962422,479556.0,0.0438,107,414,ethereum,6.1686
Art Blocks,GaryVee,112.04,3.0,38.0436,11.0877,189,567,1577812,388884.0,0.0837,2095,524,polygon,5.5665
Invisible Friends,SnowFro,300.38,11.0,6.0942,3.1472,193,965,61221,80851.0,0.1283,2635,754,ethereum,7.3594
Art Blocks,Meebits_Dev,231.35,2.0,0.2545,0.2189,86,430,625313,,0.0691,2324,267,polygon,0.9964
CryptoPunks,Invisible_Studio,194.4,9.0,0.8171,0.3486,94,188,1450072,112806.0,0.0381,4145,400,ethereum,3.588
Sandbox Land,Sandbox_AG,278.76,10.0,3.4286,1.3208,43,129,126664,159873.0,0.0853,4910,52,solana,3.7915
Otherdeed,LarvaLabs,485.09,3.0,11.4367,8.4779,156,780,1998188,442602.0,0.073,2729,921,solana,7.2781
Bored Ape YC,Meebits_Dev,157.78,2.0,12.2383,5.1375,186,372,332992,232169.0,0.064,490,610,polygon,2.64
Chromie Squiggle,LarvaLabs,260.58,2.0,8.356,5.5915,131,262,1594338,,0.1476,1806,228,ethereum,6.8716
VeeFriends,CoolCats_Dev,240.7,10.0,144.9432,46.5782,40,80,1681058,389509.0,0.1494,996,715,ethereum,91.1777
Doodles,GaryVee,358.6,9.0,3.0181,0.9774,103,412,1010961,185641.0,0.0847,2358,172,ethereum,6.1992
Moonbirds,RTFKTstudios,365.41,2.0,8.9944,4.3366,158,474,1607282,442926.0,0.0111,1178,937,ethereum,9.4459
Otherdeed,Meebits_Dev,364.81,8.0,22.0661,6.458,8,24,1769703,377192.0,0.0855,412,278,polygon,2.467
Cool Cats,Sandbox_AG,101.56,12.0,6.3897,1.8524,118,236,1468868,128579.0,0.1429,866,325,polygon,1.606
Chromie Squiggle,SnowFro,225.1,4.0,6.1348,4.6366,131,524,1416010,315199.0,0.1389,2486,1051,solana,3.6593
Sandbox Land,WoW_NFT,405.78,9.0,1.2612,0.6571,107,535,777557,241406.0,0.0331,715,891,ethereum,3.9394
World of Women,CyberKongz_Dev,191.38,5.0,60.8553,24.3343,128,256,585257,172101.0,,148,817,ethereum,40.4772
Otherdeed,SnowFro,492.14,4.0,2.3975,1.978,179,716,1735508,,0.0237,1409,722,ethereum,7.0318
VeeFriends,Evan_Conceicao,183.03,6.0,100.3746,51.2995,24,120,449027,198990.0,0.1231,3224,624,ethereum,77.1107
RTFKT,SnowFro,249.34,5.0,7.1248,4.3104,114,456,829344,58453.0,0.074,3157,231,ethereum,9.7871
Azuki,WoW_NFT,237.79,7.0,52.0174,15.3892,159,636,1025332,204251.0,0.0514,1958,361,ethereum,24.338
Otherdeed,LarvaLabs,217.4,3.0,8.5298,4.204,164,328,781743,258444.0,0.0494,3320,1155,ethereum,9.9608
Azuki,Invisible_Studio,422.97,6.0,12.5551,4.3194,93,465,746294,63253.0,0.042,964,1102,polygon,4.6476
Decentraland,Sandbox_AG,78.48,9.0,4.3735,2.2237,199,995,1198592,371379.0,0.1325,3615,871,ethereum,3.9064
Mutant Ape YC,SnowFro,284.26,6.0,6.8742,5.1704,64,256,659271,114854.0,0.062,96,1066,polygon,1.9839
Art Blocks,Meebits_Dev,309.68,10.0,20.7283,6.564,88,440,1977535,46302.0,0.0374,684,965,polygon,2.4708
Otherdeed,GaryVee,425.76,2.0,1.7505,1.7487,164,656,356260,268811.0,0.1069,4611,479,ethereum,6.9954
Meebits,KevinRose_Team,304.99,2.0,4.3966,3.8572,87,348,778295,80567.0,0.0957,2344,858,polygon,1.6986
Mutant Ape YC,Invisible_Studio,480.05,13.0,4.1185,2.1552,68,340,1690649,390935.0,0.1076,2786,903,polygon,2.6954
Sandbox Land,GaryVee,436.21,7.0,192.3305,70.7814,111,222,951294,34298.0,0.1235,1992,166,ethereum,88.8767
Decentraland,KevinRose_Team,175.02,9.0,7.4619,4.0242,124,248,1410176,209582.0,0.0161,3238,1096,ethereum,5.8421
CloneX,Meebits_Dev,430.09,11.0,33.3704,28.6249,193,386,1294095,25963.0,0.0013,3742,592,polygon,6.895
Decentraland,Azuki_Team,479.28,3.0,6.3601,3.544,123,492,662977,191738.0,0.0085,3898,376,ethereum,6.934
Art Blocks,RTFKTstudios,129.34,14.0,9.864,6.1174,37,74,1488410,466649.0,0.1063,1253,569,ethereum,7.2129
CryptoPunks,YugaLabs,305.49,6.0,0.9303,0.9179,10,30,475715,325293.0,0.1402,3136,395,ethereum,4.0088
Invisible Friends,YugaLabs,141.62,13.0,6.1251,2.6209,193,579,1499693,267621.0,0.0503,3924,399,polygon,1.7184
Sandbox Land,Decentraland_Fdn,325.13,6.0,7.4524,5.7698,84,336,256711,78711.0,0.1174,2071,655,polygon,2.7295
Otherdeed,CoolCats_Dev,47.73,6.0,51.6659,30.0603,40,160,1388325,,0.1096,1916,1197,polygon,7.0602
Sandbox Land,Decentraland_Fdn,367.36,9.0,15.2264,5.8496,44,88,225469,190437.0,0.1467,3141,490,polygon,4.5003
Pudgy Penguins,SnowFro,210.49,3.0,66.3298,23.5815,21,84,1737728,289352.0,0.0711,2873,258,ethereum,34.5916
Pudgy Penguins,Evan_Conceicao,294.07,9.0,16.0366,9.6685,39,117,1251143,104147.0,0.0257,1270,914,ethereum,16.9877
Moonbirds,Evan_Conceicao,13.91,14.0,57.5904,31.5913,156,312,81386,499973.0,0.115,4789,354,ethereum,33.6071
World of Women,CoolCats_Dev,348.03,10.0,6.7523,4.1751,130,520,218079,325857.0,0.123,2811,644,ethereum,8.5914
CryptoPunks,YugaLabs,248.5,1.0,267.6693,78.9068,119,357,375246,155973.0,0.1064,2826,304,polygon,35.307
CyberKongz,GaryVee,313.0,10.0,3.6953,2.5031,2,6,1920445,56270.0,,1035,255,ethereum,7.1589
Sandbox Land,CoolCats_Dev,158.52,1.0,2.6046,1.7865,134,670,1179133,297540.0,0.0563,3380,303,ethereum,4.3913
RTFKT,Azuki_Team,73.76,2.0,2.2163,1.0491,193,386,558630,223966.0,0.1039,4587,428,polygon,1.0435
Art Blocks,WoW_NFT,218.28,4.0,108.279,73.4959,184,920,553974,336982.0,0.0403,3633,1146,ethereum,85.983
RTFKT,Decentraland_Fdn,472.05,5.0,16.6751,11.9812,79,237,52096,298131.0,0.0675,2552,805,ethereum,13.2485
CloneX,Invisible_Studio,114.67,1.0,3.7207,3.0013,120,600,406779,320215.0,0.0371,3186,835,ethereum,5.1734
VeeFriends,CoolCats_Dev,338.24,1.0,52.1698,20.062,59,295,1710731,416854.0,0.024,1176,65,ethereum,34.362
Sandbox Land,YugaLabs,25.87,12.0,25.8815,10.229,177,885,1197891,262635.0,0.0064,312,14,ethereum,16.1855
Sandbox Land,Decentraland_Fdn,359.33,7.0,124.5351,47.4346,183,366,735490,362303.0,0.101,3201,411,ethereum,60.7527
Sandbox Land,GaryVee,,3.0,2.0518,0.6995,44,220,42919,179579.0,0.1314,917,1065,ethereum,3.1676
VeeFriends,Sandbox_AG,226.31,7.0,5.9189,3.2595,97,291,686260,471437.0,0.0478,460,20,ethereum,6.184
Bored Ape YC,LarvaLabs,184.51,10.0,8.4798,2.5727,47,235,766063,204044.0,0.065,3876,919,solana,3.3751
Otherdeed,RTFKTstudios,57.31,11.0,1.1887,0.4196,122,610,237681,339971.0,0.0015,2175,985,ethereum,2.0302
Cool Cats,RTFKTstudios,173.45,5.0,48.179,15.9969,58,232,1214635,499226.0,0.0625,4268,334,ethereum,25.596
Meebits,Meebits_Dev,175.71,3.0,9.0792,3.2398,139,695,1321013,174659.0,0.0429,4331,141,ethereum,6.2704
Azuki,Meebits_Dev,261.53,14.0,20.6431,10.8869,196,784,1996386,50884.0,0.0866,623,185,ethereum,16.4651
Invisible Friends,Sandbox_AG,486.2,9.0,129.9051,76.0755,174,348,717907,115938.0,0.1364,3841,93,polygon,23.3686
Moonbirds,KevinRose_Team,235.54,14.0,6.0315,2.9332,36,180,552321,121970.0,0.0764,1680,1012,ethereum,6.992
RTFKT,RTFKTstudios,457.3,5.0,3.3596,2.7037,25,100,1646077,28385.0,0.1017,3520,944,polygon,2.1636
CyberKongz,Azuki_Team,231.32,2.0,10.9975,5.1675,162,324,701131,271990.0,,229,807,polygon,2.894
Pudgy Penguins,Evan_Conceicao,54.66,6.0,16.2342,14.6538,16,32,1261421,138866.0,0.0237,2358,108,ethereum,11.2515
Cool Cats,Azuki_Team,115.85,5.0,2.2928,2.2704,80,320,1475143,48620.0,0.0526,3146,1140,polygon,1.3202
RTFKT,Decentraland_Fdn,,11.0,6.9967,2.1019,198,990,1759884,68510.0,,2239,821,ethereum,6.1357
Art Blocks,Meebits_Dev,163.36,11.0,43.4011,15.9367,89,356,637695,136768.0,0.0667,2763,993,ethereum,26.0126
Mutant Ape YC,Meebits_Dev,433.05,2.0,16.9754,7.0595,1,3,1245311,184675.0,0.1332,66,456,ethereum,10.4117
Meebits,Invisible_Studio,339.64,9.0,0.7139,0.3853,195,585,262626,487239.0,0.0727,46,238,polygon,1.8314
CloneX,Sandbox_AG,,5.0,2.4991,1.03,141,423,1558666,351318.0,0.069,3004,986,ethereum,4.8343
Azuki,RTFKTstudios,246.12,9.0,87.6751,27.1529,66,198,90519,357395.0,0.0322,2085,62,ethereum,37.2338
CryptoPunks,RTFKTstudios,,6.0,19.0994,7.2595,122,366,1393230,346047.0,0.0472,2889,220,ethereum,9.8494
World of Women,YugaLabs,306.48,8.0,4.5001,1.7956,122,244,418407,401632.0,0.1406,1804,185,ethereum,5.0487
Mutant Ape YC,Meebits_Dev,63.18,11.0,7.8556,3.6529,110,440,925453,159151.0,0.0461,36,102,polygon,1.6966
Pudgy Penguins,Invisible_Studio,82.1,5.0,8.4886,4.5534,192,384,153131,49774.0,0.11,3504,661,ethereum,8.3355
CloneX,Meebits_Dev,152.26,3.0,29.7599,10.8361,157,314,1377503,254325.0,0.0073,693,274,ethereum,15.3538
Cool Cats,WoW_NFT,86.42,10.0,3.0319,0.8782,51,153,964544,754.0,0.0201,3926,1159,ethereum,1.7447
CloneX,RTFKTstudios,338.87,14.0,3.3685,1.6337,198,990,1327402,108464.0,0.0474,72,1118,ethereum,7.2238
World of Women,CoolCats_Dev,13.36,7.0,12.316,6.2186,192,768,695363,376527.0,0.1353,4645,202,ethereum,6.0635
Art Blocks,RTFKTstudios,80.93,14.0,8.2308,3.9757,9,27,13903,251538.0,0.0337,1273,995,ethereum,7.0723
Moonbirds,Azuki_Team,451.4,3.0,18.3717,8.9016,59,236,1162159,345361.0,0.1093,4464,47,ethereum,13.9592
CryptoPunks,CoolCats_Dev,498.77,12.0,3.5631,1.0249,122,488,1397426,255089.0,0.026,29,343,solana,4.2931
Azuki,Evan_Conceicao,244.31,14.0,19.0355,6.8796,175,525,1329718,271403.0,0.0923,2256,792,solana,8.9661
World of Women,Sandbox_AG,248.19,5.0,31.5219,16.6083,143,715,524687,150718.0,0.0884,2092,248,polygon,6.9472
Doodles,Invisible_Studio,386.93,3.0,15.5033,8.038,114,456,1433265,109340.0,0.0937,829,94,ethereum,10.2077
Sandbox Land,Azuki_Team,19.06,10.0,10.9995,5.2959,61,122,1083874,129807.0,0.0437,2387,189,solana,3.0613
Doodles,LarvaLabs,214.08,13.0,4.3612,3.9946,19,95,420777,399047.0,0.0252,1083,790,polygon,1.1923
CryptoPunks,Invisible_Studio,50.81,2.0,3.8173,1.6457,178,356,223109,489789.0,0.1331,2191,266,polygon,1.7178
Meebits,RTFKTstudios,201.06,9.0,12.4491,4.1107,106,212,650956,41011.0,0.0858,1879,295,ethereum,7.6664
Meebits,Evan_Conceicao,491.93,13.0,53.879,20.3208,91,273,46533,268608.0,0.0326,1004,246,ethereum,40.5194
Mutant Ape YC,Decentraland_Fdn,377.06,1.0,5.8125,3.8852,195,585,1432378,235259.0,0.0626,3945,1058,ethereum,7.3854
Doodles,Decentraland_Fdn,492.54,8.0,4.3449,1.5407,32,160,30731,281082.0,0.011,2622,1065,solana,3.4822
Mutant Ape YC,GaryVee,373.28,2.0,6.9479,2.4826,50,200,97330,116523.0,0.0718,4193,966,ethereum,8.0973
Otherdeed,Azuki_Team,304.45,3.0,9.4465,5.7032,170,340,316809,3996.0,0.0642,4072,24,ethereum,8.6253
Meebits,Meebits_Dev,377.36,7.0,7.3207,2.8628,56,168,652467,101747.0,0.0208,1319,301,ethereum,10.117
Cool Cats,Sandbox_AG,329.89,5.0,20.2781,8.0234,188,940,40275,91002.0,0.0672,1463,1056,ethereum,17.0772
VeeFriends,CoolCats_Dev,232.57,2.0,26.0142,8.3931,171,684,1259931,26274.0,0.0963,4758,665,ethereum,14.0096
Decentraland,GaryVee,146.98,12.0,17.4542,13.0238,19,76,265228,178375.0,0.1393,1569,50,solana,5.0788
Azuki,GaryVee,260.57,3.0,36.7853,24.7363,91,364,1606508,,0.1058,482,299,polygon,5.7201
CyberKongz,SnowFro,129.99,13.0,32.7942,14.806,150,600,1118567,482993.0,,2718,992,polygon,3.1736
Moonbirds,WoW_NFT,243.85,3.0,1.6219,1.4607,97,194,167127,328651.0,0.1157,4833,1054,ethereum,4.1546
Otherdeed,CyberKongz_Dev,73.92,8.0,3.0901,1.5155,43,172,800845,87703.0,0.0427,1176,511,ethereum,3.6631
Azuki,LarvaLabs,283.13,11.0,12.1561,4.0922,9,36,280940,181152.0,0.1006,3191,182,ethereum,7.5015
Chromie Squiggle,LarvaLabs,123.4,7.0,3.5776,2.608,1,2,1961505,151714.0,0.0018,1695,93,ethereum,3.2482
World of Women,Azuki_Team,147.51,6.0,2.4582,1.1434,35,140,1185258,106159.0,0.0118,1931,271,ethereum,3.9878
